##BLOCKS= 2          																					
Plate:	Plate#1	1.3	PlateFormat	Spectrum	Absorbance	Raw	FALSE	41			350	750	10			1	12	96	1	8	None
510	20.3	1.059833	0.901833	0.216833	0.243833	0.125833	0.168833	0.331833	0.329833	0.356833	0.583833	0.337833	0.485833								
		0.152833	0.126833	0.154833	0.278833	0.241833	0.270833	0.251833	0.654833	0.395833	0.465833	0.836833	0.488833								
		0.337833	0.277833	0.239833	0.277833	0.224833	0.240833	0.261833	0.276833	0.312833	0.214833	0.316833	0.259833								
		0.204833	0.215833	0.279833	0.221833	0.336833	0.270833	0.203833	0.437833	0.469833	0.420833	0.519833	0.382833								
		0.451833	0.418833	0.481833	0.488833	0.442833	0.361833	0.549833	0.454833	0.373833	0.430833	0.456833	0.352833								
		0.438833	0.410833	0.374833	0.427833	0.406833	0.422833	0.443833	0.460833	0.492833	0.393833	0.328833	0.452833								
		0.085833	-0.018167	0.059833	-0.019167	0.021833	0.045833	-0.034167	-0.031167	-0.031167	-0.030167	-0.026167	-0.023167								
		-0.031167	-0.032167	-0.034167	-0.032167	-0.033167	-0.032167	-0.030167	-0.032167	-0.034167	-0.023167	-0.028167	-0.033167								
																					
520	20.3	1.052333	0.905333	0.211333	0.226333	0.105333	0.134333	0.293333	0.306333	0.343333	0.566333	0.332333	0.486333								
		0.153333	0.130333	0.161333	0.293333	0.261333	0.319333	0.292333	0.784333	0.480333	0.542333	0.923333	0.534333								
		0.405333	0.331333	0.280333	0.321333	0.260333	0.278333	0.300333	0.318333	0.360333	0.245333	0.350333	0.287333								
		0.233333	0.246333	0.315333	0.251333	0.379333	0.304333	0.230333	0.443333	0.469333	0.423333	0.514333	0.388333								
		0.452333	0.419333	0.481333	0.486333	0.431333	0.369333	0.545333	0.460333	0.380333	0.431333	0.451333	0.357333								
		0.446333	0.416333	0.382333	0.423333	0.408333	0.423333	0.446333	0.466333	0.490333	0.398333	0.322333	0.447333								
		0.086333	-0.017667	0.060333	-0.019667	0.021333	0.045333	-0.033667	-0.031667	-0.030667	-0.029667	-0.026667	-0.023667								
		-0.031667	-0.032667	-0.034667	-0.032667	-0.033667	-0.032667	-0.030667	-0.032667	-0.034667	-0.023667	-0.028667	-0.033667								
																					
530	20.3	1.021667	0.871667	0.201667	0.206667	0.089667	0.108667	0.271667	0.296667	0.342667	0.577667	0.343667	0.496667								
		0.169667	0.148667	0.184667	0.328667	0.303667	0.390667	0.353667	0.954667	0.593667	0.652667	1.041667	0.600667								
		0.498667	0.406667	0.341667	0.387667	0.316667	0.337667	0.363667	0.381667	0.433667	0.294667	0.402667	0.331667								
		0.281667	0.295667	0.376667	0.300667	0.450667	0.362667	0.275667	0.426667	0.445667	0.406667	0.494667	0.373667								
		0.434667	0.402667	0.457667	0.471667	0.413667	0.357667	0.523667	0.447667	0.358667	0.410667	0.432667	0.344667								
		0.425667	0.400667	0.367667	0.406667	0.391667	0.403667	0.420667	0.441667	0.466667	0.382667	0.309667	0.427667								
		0.086667	-0.018333	0.060667	-0.019333	0.020667	0.044667	-0.033333	-0.031333	-0.031333	-0.029333	-0.026333	-0.023333								
		-0.031333	-0.032333	-0.034333	-0.033333	-0.034333	-0.033333	-0.031333	-0.032333	-0.034333	-0.024333	-0.028333	-0.033333								
																					
540	20.3	0.973083	0.845083	0.183083	0.183083	0.075083	0.088083	0.253083	0.294083	0.354083	0.604083	0.374083	0.531083								
		0.199083	0.180083	0.223083	0.379083	0.368083	0.501083	0.450083	1.220083	0.768083	0.832083	1.225083	0.704083								
